Date,Location,Crime
2001-06-01,Northland,3849.5612915547813
2001-07-01,Northland,3867.8692309492435
2001-08-01,Northland,3882.8587790204388
2001-09-01,Northland,3893.7982828646846
2001-10-01,Northland,3899.95608957843
2001-11-01,Northland,3900.6005462580692
2001-12-01,Northland,3895.0
2002-01-01,Northland,3882.764023850372
2002-02-01,Northland,3864.86709465422
2002-03-01,Northland,3842.6249152064747
2002-04-01,Northland,3817.353188301923
2002-05-01,Northland,3790.36761673532
2002-06-01,Northland,3762.983903301644
2002-07-01,Northland,3736.5177507956537
2002-08-01,Northland,3712.2848620121144
2002-09-01,Northland,3691.600939745992
2002-10-01,Northland,3675.7816867920446
2002-11-01,Northland,3666.1428059450864
2002-12-01,Northland,3664.0
2003-01-01,Northland,3670.250629165747
2003-02-01,Northland,3684.1186833080355
2003-03-01,Northland,3704.4098097066158
2003-04-01,Northland,3729.929655641343
2003-05-01,Northland,3759.4838683921303
2003-06-01,Northland,3791.8780952386423
2003-07-01,Northland,3825.917983460782
2003-08-01,Northland,3860.4091803384717
2003-09-01,Northland,3894.1573331513478
2003-10-01,Northland,3925.968089179333
2003-11-01,Northland,3954.6470957023275
2003-12-01,Northland,3979.0
2004-01-01,Northland,3998.1136678199355
2004-02-01,Northland,4012.1998387803596
2004-03-01,Northland,4021.751470967063
2004-04-01,Northland,4027.2615224659594
2004-05-01,Northland,4029.2229513629145
2004-06-01,Northland,4028.128715743787
2004-07-01,Northland,4024.471773694454
2004-08-01,Northland,4018.7450833007642
2004-09-01,Northland,4011.4416026486174
2004-10-01,Northland,4003.0542898238673
2004-11-01,Northland,3994.076102912356
2004-12-01,Northland,3985.0
2005-01-01,Northland,3976.2379865914863
2005-02-01,Northland,3967.8782578668734
2005-03-01,Northland,3959.9280564251317
2005-04-01,Northland,3952.3946248651605
2005-05-01,Northland,3945.285205785866
2005-06-01,Northland,3938.6070417862097
2005-07-01,Northland,3932.3673754650977
2005-08-01,Northland,3926.5734494214366
2005-09-01,Northland,3921.232506254183
2005-10-01,Northland,3916.3517885622455
2005-11-01,Northland,3911.9385389445342
2005-12-01,Northland,3908.0
2006-01-01,Northland,3904.6004737771004
2006-02-01,Northland,3902.032500122495
2006-03-01,Northland,3900.6456783324106
2006-04-01,Northland,3900.7896077030514
2006-05-01,Northland,3902.8138875306386
2006-06-01,Northland,3907.0681171113733
2006-07-01,Northland,3913.9018957414723
2006-08-01,Northland,3923.6648227171772
2006-09-01,Northland,3936.7064973346496
2006-10-01,Northland,3953.3765188901234
2006-11-01,Northland,3974.024486679873
2006-12-01,Northland,3999.0
2007-01-01,Northland,4028.5811831149163
2007-02-01,Northland,4062.7602601616836
2007-03-01,Northland,4101.457980245227
2007-04-01,Northland,4144.595092470745
2007-05-01,Northland,4192.092345943483
2007-06-01,Northland,4243.870489768297
