Time Frame,Location Id,Location,Median Rent,Crime
1994/4/1,13,Canterbury,150,7760.958946
1994/4/1,14,Otago,135,3945.5201
1994/4/1,15,Southland,110,2780.85535
1994/4/1,17,Nelson,150,2915.292513
1994/5/1,1,Northland,130,3037.268482
1994/5/1,2,Auckland,200,8964.482703
1994/5/1,3,Waikato,135,6273.753773
1994/5/1,4,Bay of Plenty,150,4801.414186
1994/5/1,5,Gisborne,140,5471.64093
1994/5/1,7,Taranaki,130,3378.874634
1994/5/1,8,Manawatu-Whanganui,130,3765.941934
1994/5/1,9,Wellington,170,4054.656053
1994/5/1,12,West Coast,120,2920.481383
1994/5/1,13,Canterbury,150,7759.748586
1994/5/1,14,Otago,140,3949.739176
1994/5/1,15,Southland,110,2786.262288
1994/5/1,17,Nelson,160,2920.481383
1994/6/1,1,Northland,130,3052.861038
1994/6/1,2,Auckland,200,9029.928918
1994/6/1,3,Waikato,130,6224.237819
1994/6/1,4,Bay of Plenty,150,4799.578693
1994/6/1,5,Gisborne,140,5451.549732
1994/6/1,7,Taranaki,130,3399.763868
1994/6/1,8,Manawatu-Whanganui,130,3757.586251
1994/6/1,9,Wellington,170,4052.449579
1994/6/1,12,West Coast,120,2924.96834
1994/6/1,13,Canterbury,150,7757.47542
1994/6/1,14,Otago,140,3952.646193
1994/6/1,15,Southland,110,2789.770153
1994/6/1,17,Nelson,150,2924.96834
1994/7/1,1,Northland,130,3068.239091
1994/7/1,2,Auckland,200,9092.504082
1994/7/1,3,Waikato,130,6175.319765
1994/7/1,4,Bay of Plenty,150,4793.627718
1994/7/1,5,Gisborne,130,5429.372437
1994/7/1,7,Taranaki,130,3422.16622
1994/7/1,8,Manawatu-Whanganui,133,3750.559109
1994/7/1,9,Wellington,173,4050.093128
1994/7/1,12,West Coast,120,2928.929278
1994/7/1,13,Canterbury,150,7753.898064
1994/7/1,14,Otago,140,3954.26731
1994/7/1,15,Southland,115,2791.790786
1994/7/1,17,Nelson,150,2928.929278
1994/8/1,1,Northland,130,3084.17659
1994/8/1,2,Auckland,200,9151.370648
1994/8/1,3,Waikato,135,6129.008239
1994/8/1,4,Bay of Plenty,150,4783.557242
1994/8/1,5,Gisborne,140,5405.274917
1994/8/1,7,Taranaki,135,3445.770983
1994/8/1,8,Manawatu-Whanganui,130,3745.13618
1994/8/1,9,Wellington,170,4047.35638
1994/8/1,12,West Coast,120,2932.540092
1994/8/1,13,Canterbury,150,7748.775134
1994/8/1,14,Otago,140,3954.628687
1994/8/1,15,Southland,110,2792.736033
1994/8/1,17,Nelson,158,2932.540092
1994/9/1,1,Northland,125,3101.447482
1994/9/1,2,Auckland,200,9205.69107
1994/9/1,3,Waikato,130,6087.31187
1994/9/1,4,Bay of Plenty,150,4769.36325
1994/9/1,5,Gisborne,130,5379.423042
1994/9/1,7,Taranaki,135,3470.26745
1994/9/1,8,Manawatu-Whanganui,130,3741.593133
1994/9/1,9,Wellington,175,4044.009014
1994/9/1,12,West Coast,120,2935.976676
1994/9/1,13,Canterbury,150,7741.865246
1994/9/1,14,Otago,135,3953.756484
1994/9/1,15,Southland,110,2793.017734
1994/9/1,17,Nelson,160,2935.976676
1994/10/1,1,Northland,130,3120.825716
1994/10/1,2,Auckland,210,9254.6278
1994/10/1,3,Waikato,135,6052.239288
1994/10/1,4,Bay of Plenty,150,4751.041723
1994/10/1,5,Gisborne,150,5351.982684
